Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,hit_year
spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Where the Light Is,Surfaces,1/6/2019,158571,5,False,nick170708!,2024-02-01T17:29:31Z,,"Surfaces, LLC / TenThousand Projects, LLC",0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4,2020
spotify:track:3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Shut up My Moms Calling,Hotel Ugly,2/10/2020,164571,87,False,nick170708!,2024-11-26T19:26:57Z,,"Hotel Ugly, under exclusive license to Amuseio AB",0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,4,2020
spotify:track:41L3O37CECZt3N7ziG2z7l,Yummy,Yummy,Justin Bieber,1/3/2020,210426,65,False,nick170708!,2024-02-01T17:29:31Z,,RBMG/Def Jam,0.688,0.514,9,-6.612,0,0.0903,0.366,0.0,0.116,0.494,145.919,4,2020
spotify:track:5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),Megan Thee Stallion;Beyoncé,4/29/2020,242000,59,True,nick170708!,2024-02-01T17:29:31Z,,300 Entertainment,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,4,2020
spotify:track:3vAn0qZzdyuHamcrpkfiX3,How You Like That,How You Like That,BLACKPINK,6/26/2020,181263,1,False,nick170708!,2024-02-01T17:29:31Z,k-pop,YG Entertainment/Interscope Records,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,4,2020
spotify:track:1raaNykBg1bDnWENUiglUA,Break My Heart,Break My Heart,Dua Lipa,3/25/2020,221820,59,False,nick170708!,2025-01-11T21:58:35Z,pop,Warner Records,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012,4,2020
spotify:track:7k4t7uLgtOxPwTpFmtJNTY,Tusa,Tusa,KAROL G;Nicki Minaj,11/7/2019,200960,73,True,nick170708!,2024-02-01T17:29:31Z,"reggaeton,latin,urbano latino",TUSA - Karol G & Nicki Minaj,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,2020
spotify:track:1yoMvmasuxZfqHEipJhRbp,Hawái,PAPI JUANCHO,Maluma,8/21/2020,199112,79,False,nick170708!,2024-02-01T17:29:31Z,"reggaeton,latin,urbano latino",Sony Music Latin,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4,2020
spotify:track:0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin;Dua Lipa;Bad Bunny;Tainy,7/24/2020,232253,70,False,nick170708!,2024-02-01T17:29:31Z,"reggaeton,latin,pop,trap latino,urbano latino",Universal Music Latino/ NEON16,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,4,2020
spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),Monster,Shawn Mendes;Justin Bieber,11/20/2020,178994,67,False,nick170708!,2024-02-01T17:29:31Z,,Shawn Mendes LP4-5 PS/ Island,0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765,4,2020
spotify:track:6J2LdBN97cDWn0MLxYh9HB,July,THE END OF EVERYTHING,Noah Cyrus,5/15/2020,156106,79,False,nick170708!,2024-02-01T17:29:31Z,,Records/Columbia,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,4,2020
spotify:track:4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),folklore,Taylor Swift;Bon Iver,7/24/2020,285634,80,False,nick170708!,2025-06-30T01:59:39Z,,Taylor Swift,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,2020
spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,11/22/2019,215106,84,False,nick170708!,2024-02-01T17:29:31Z,soft pop,Vertigo Berlin,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881,4,2020
spotify:track:2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake;Lil Durk,8/14/2020,261492,76,True,nick170708!,2024-02-01T17:29:31Z,"rap,chicago drill,drill",OVO,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4,2020
spotify:track:7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem;Juice WRLD,1/17/2020,210800,81,True,nick170708!,2024-02-01T17:29:31Z,"rap,hip hop,melodic rap,emo rap",Shady/Aftermath/Interscope Records,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,4,2020
spotify:track:78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Boss Bitch,Doja Cat,1/23/2020,134239,74,False,nick170708!,2024-02-01T17:29:31Z,,Atlantic Records,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,4,2020
spotify:track:29TPjc8wxfz4XMn21O7VsZ,Sky,Whole Lotta Red,Playboi Carti,12/25/2020,193234,79,True,nick170708!,2025-01-20T21:27:08Z,rage rap,AWGE/Interscope Records,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,4,2020
spotify:track:2p8IUWQDrpjuFltbdgLOag,After Hours,After Hours,The Weeknd,3/20/2020,361026,82,False,nick170708!,2024-12-04T12:54:29Z,,Republic Records,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4,2020
spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe;Julia Michaels,10/17/2019,208687,74,False,nick170708!,2024-02-01T17:29:31Z,,Arista Records,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,4,2020
spotify:track:6NfrH0ANGmgBXyxgV2PeXt,La Difícil,YHLQMDLG,Bad Bunny,2/29/2020,163084,72,True,nick170708!,2024-02-01T17:29:31Z,"reggaeton,trap latino,urbano latino,latin",Rimas Entertainment LLC,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,4,2020
spotify:track:2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow;Tory Lanez;DaBaby;Lil Wayne,6/24/2020,227478,65,True,nick170708!,2024-02-01T17:29:31Z,"rap,hip hop",Generation Now/Atlantic,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,4,2020
spotify:track:7szuecWAPwGoV1e5vGu8tl,In Your Eyes,After Hours,The Weeknd,3/20/2020,237520,77,True,nick170708!,2024-02-01T17:29:31Z,,Republic Records,0.667,0.719,7,-5.371,0,0.0346,0.0028,7.92e-05,0.0736,0.718,100.019,4,2020
spotify:track:6o3QUC5oAE4g6WxRIFcZtb,Wishing Well,Legends Never Die,Juice WRLD,7/10/2020,194621,1,True,nick170708!,2024-02-01T17:29:31Z,"melodic rap,emo rap",Grade A Productions/Interscope Records,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,4,2020
