track_name,artist_names,release_date,duration_ms,popularity,explicit,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit_year,release_year,hit
In Your Eyes,The Weeknd,2020-03-20,237520,77,True,2024-02-01T17:29:31Z,unknown,0.667,0.719,7,-5.371,0,0.0346,0.0028,7.92e-05,0.0736,0.718,100.019,4,2020,2020,1
Wishing Well,Juice WRLD,2020-07-10,194621,1,True,2024-02-01T17:29:31Z,"melodic rap,emo rap",0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,4,2020,2020,0
Prisoner (feat. Dua Lipa),Miley Cyrus;Dua Lipa,2020-11-20,169333,1,False,2024-02-01T17:29:31Z,pop,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,4,2020,2020,0
Maniac,Conan Gray,2020-03-20,185773,76,False,2025-05-24T20:10:26Z,unknown,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,4,2020,2020,1
Golden,Harry Styles,2019-12-13,208917,74,False,2024-09-17T16:08:51Z,unknown,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4,2020,2019,1
Come & Go (with Marshmello),Juice WRLD;Marshmello,2020-07-09,205484,55,True,2024-02-01T17:29:31Z,"melodic rap,emo rap,edm",0.625,0.811,0,-5.183,1,0.0659,0.0173,0.0,0.16,0.532,144.994,4,2020,2020,0
Kings & Queens,Ava Max,2020-09-18,162398,82,False,2025-01-07T22:12:49Z,unknown,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4,2020,2020,1
Ice Cream (with Selena Gomez),BLACKPINK;Selena Gomez,2020-08-28,175813,62,False,2024-02-01T17:29:31Z,k-pop,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,4,2020,2020,0
ily (i love you baby) (feat. Emilee),Surf Mesa;Emilee,2019-11-26,176546,74,False,2024-02-01T17:29:31Z,unknown,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,2020,2019,1
Breaking Me,Topic;A7S,2019-12-19,166793,72,False,2024-02-01T17:29:31Z,unknown,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4,2020,2019,1
Be Kind (with Halsey),Marshmello;Halsey,2020-05-01,172761,72,False,2024-02-01T17:29:31Z,edm,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,4,2020,2020,1
Good News,Mac Miller,2020-01-17,342040,70,False,2024-02-01T17:29:31Z,unknown,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4,2020,2020,1
Therefore I Am,Billie Eilish,2020-11-12,174321,69,False,2024-02-01T17:29:31Z,unknown,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,2020,2020,0
Rare,Selena Gomez,2020-01-10,220589,58,False,2024-02-01T17:29:31Z,unknown,0.838,0.541,5,-6.746,1,0.0708,0.207,7.97e-05,0.103,0.637,114.996,4,2020,2020,0
Put Your Records On,Ritt Momney,2020-04-24,210463,68,False,2024-02-01T17:29:31Z,bedroom pop,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4,2020,2020,0
Holy (feat. Chance The Rapper),Justin Bieber;Chance the Rapper,2020-09-18,212093,67,False,2024-02-01T17:29:31Z,unknown,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4,2020,2020,0
Wonder,Shawn Mendes,2020-10-02,172692,66,False,2024-02-01T17:29:31Z,unknown,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,4,2020,2020,0
Savage Love (Laxed - Siren Beat),Jawsh 685;Jason Derulo,2020-06-11,171374,71,True,2024-02-01T17:29:31Z,unknown,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,4,2020,2020,1
my ex's best friend (with blackbear),mgk;blackbear,2020-08-07,138970,1,True,2024-02-01T17:29:31Z,unknown,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,4,2020,2020,0
Midnight Sky,Miley Cyrus,2020-08-14,223279,3,False,2024-02-01T17:29:31Z,unknown,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,4,2020,2020,0
My Head & My Heart,Ava Max,2020-09-18,174760,73,False,2025-01-07T22:13:18Z,unknown,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,4,2020,2020,1
RITMO (Bad Boys For Life),Black Eyed Peas;J Balvin,2020-06-18,214934,48,True,2024-02-01T17:29:31Z,"reggaeton,latin",0.723,0.704,10,-7.088,0,0.0571,0.0259,0.00109,0.792,0.684,105.095,4,2020,2020,0
POPSTAR (feat. Drake),DJ Khaled;Drake,2020-07-17,200221,67,True,2024-02-01T17:29:31Z,rap,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,4,2020,2020,0
THE SCOTTS,THE SCOTTS;Travis Scott;Kid Cudi,2020-04-24,165977,70,True,2024-02-01T17:29:31Z,rap,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,4,2020,2020,1
High Fashion (feat. Mustard),Roddy Ricch;Mustard,2019-12-06,220486,70,True,2024-02-01T17:29:31Z,melodic rap,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,4,2020,2019,1
Safaera,Bad Bunny;Jowell & Randy;Ñengo Flow,2020-02-29,295176,77,True,2024-02-01T17:29:31Z,"reggaeton,trap latino,urbano latino,latin",0.607,0.829,2,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,4,2020,2020,1
Physical,Dua Lipa,2020-03-27,193829,76,False,2024-02-01T17:29:31Z,pop,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,2020,2020,1
Head & Heart (feat. MNEK),Joel Corry;MNEK,2020-07-03,166028,75,False,2024-02-01T17:29:31Z,dance pop,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,2020,2020,1
You should be sad,Halsey,2020-01-17,205473,68,True,2024-02-01T17:29:31Z,unknown,0.591,0.585,2,-6.35,1,0.0276,0.143,0.0,0.109,0.323,110.943,4,2020,2020,0
No Time To Die,Billie Eilish,2020-02-13,242265,77,False,2024-02-01T17:29:31Z,unknown,0.344,0.22,4,-13.218,0,0.0365,0.917,0.0107,0.0827,0.0522,70.895,4,2020,2020,1
Lonely (with benny blanco),Justin Bieber;benny blanco,2020-10-16,149297,67,True,2024-02-01T17:29:31Z,unknown,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,4,2020,2020,0
my future,Billie Eilish,2020-07-30,208155,68,False,2024-02-01T17:29:31Z,unknown,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,4,2020,2020,0
Moral of the Story,Ashe,2019-02-14,201083,73,True,2024-02-01T17:29:31Z,unknown,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,4,2020,2019,1
BELIEVE IT,PARTYNEXTDOOR;Rihanna,2020-03-27,183219,0,True,2024-02-01T17:29:31Z,"dark r&b,r&b,trap soul",0.43,0.7,6,-5.35,1,0.264,0.0902,0.0,0.216,0.731,158.373,4,2020,2020,0
Level of Concern,Twenty One Pilots,2020-04-09,220051,63,False,2024-02-01T17:29:31Z,unknown,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,4,2020,2020,0
ON (Feat. Sia),BTS;Sia,2020-02-21,246816,0,False,2024-02-01T17:29:31Z,k-pop,0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,4,2020,2020,0
TKN (feat. Travis Scott),ROSALÍA;Travis Scott,2020-05-28,129370,67,False,2024-02-01T17:29:31Z,"latin,rap",0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634,4,2020,2020,0
Go Crazy,Chris Brown;Young Thug,2020-05-08,176960,78,True,2024-02-01T17:29:31Z,"r&b,rap,melodic rap,trap",0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4,2020,2020,1
What A Man Gotta Do,Jonas Brothers,2020-01-17,180644,70,False,2024-02-01T17:29:31Z,unknown,0.853,0.696,9,-7.206,1,0.0633,0.00852,1e-06,0.0773,0.324,113.026,4,2020,2020,1
Play Date,Melanie Martinez,2015-08-14,179867,75,True,2024-02-01T17:29:31Z,unknown,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,4,2020,2015,1
Take You Dancing,Jason Derulo,2020-07-22,190306,71,False,2024-02-01T17:29:31Z,unknown,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,4,2020,2020,1
MAMACITA,Black Eyed Peas;Ozuna;J. Rey Soul,2020-04-10,249142,61,True,2024-02-01T17:29:31Z,"reggaeton,trap latino,latin,urbano latino",0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,4,2020,2020,0
Runnin,21 Savage;Metro Boomin,2020-10-02,195906,76,True,2024-02-01T17:29:31Z,unknown,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4,2020,2020,1
Djadja (feat. Maluma) - Remix,Aya Nakamura;Maluma,2020-06-12,166850,60,False,2024-02-01T17:29:31Z,"french r&b,pop urbaine,reggaeton,latin,urbano latino",0.791,0.682,5,-7.328,1,0.158,0.175,0.0,0.0926,0.672,98.031,4,2020,2020,0
My Oh My (feat. DaBaby),Camila Cabello;DaBaby,2019-12-06,171375,76,False,2024-02-01T17:29:31Z,unknown,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,4,2020,2019,1
Hit Different,SZA;The Neptunes;Pharrell Williams;Ty Dolla $ign,2020-09-04,202007,67,True,2025-02-11T17:00:32Z,"r&b,trap soul",0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,4,2020,2020,0
Nobody's Love,Maroon 5,2020-07-24,211253,10,False,2025-07-01T21:37:42Z,pop,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,4,2020,2020,0
Better,ZAYN,2020-09-25,174516,49,False,2025-07-01T21:37:47Z,unknown,0.637,0.418,2,-7.137,1,0.301,0.353,0.0,0.131,0.0807,84.295,4,2020,2020,0
Over Now (with The Weeknd),Calvin Harris;The Weeknd,2020-08-28,210795,62,True,2025-07-01T21:37:51Z,edm,0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,4,2020,2020,0
Lose Somebody,Kygo;OneRepublic,2020-05-15,199549,60,False,2025-07-01T21:37:55Z,"tropical house,soft pop",0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,4,2020,2020,0
OK Not To Be OK,Marshmello;Demi Lovato,2020-09-10,159862,61,False,2025-07-01T21:37:58Z,edm,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4,2020,2020,0
Daisies,Katy Perry,2020-05-15,173123,56,False,2025-07-01T21:38:03Z,pop,0.639,0.546,1,-5.382,1,0.0407,0.0837,0.0,0.122,0.149,122.179,4,2020,2020,0
Mad at Disney,salem ilese,2020-07-24,136838,0,False,2025-07-01T21:38:14Z,unknown,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,4,2020,2020,0
Favorito,Camilo,2020-04-17,209765,71,False,2025-07-01T21:38:18Z,"colombian pop,pop urbano",0.606,0.853,9,-2.975,1,0.0545,0.237,0.0,0.251,0.822,178.043,4,2020,2020,1
Old Me,5 Seconds of Summer,2020-03-27,186785,0,True,2025-07-01T21:38:25Z,unknown,0.721,0.62,0,-3.639,1,0.0483,0.313,0.0,0.26,0.473,127.979,4,2020,2020,0
I Love Me,Demi Lovato,2020-03-06,203672,52,True,2025-07-01T21:38:28Z,unknown,0.664,0.561,6,-7.031,1,0.0495,0.00261,0.0,0.0764,0.713,150.093,4,2020,2020,0
"Ay, DiOs Mío!",KAROL G,2020-07-10,189653,63,False,2025-07-01T21:38:39Z,"reggaeton,latin,urbano latino",0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,4,2020,2020,0
GREECE (feat. Drake),DJ Khaled;Drake,2020-07-16,218901,69,True,2025-07-01T21:38:43Z,rap,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,4,2020,2020,0
Me Gusta,Shakira;Anuel AA,2020-01-13,190570,66,False,2025-07-01T21:38:47Z,"latin pop,reggaeton,trap latino,urbano latino,latin",0.775,0.696,1,-5.184,0,0.0681,0.0559,0.00184,0.157,0.775,92.007,4,2020,2020,0
Boyfriend,Selena Gomez,2020-04-09,161188,50,False,2025-07-01T21:38:49Z,unknown,0.811,0.512,2,-6.381,1,0.17,0.218,0.0262,0.0767,0.346,92.047,4,2020,2020,0
